Building Address,"Building Type
(Commercial Buildings1, 
Healthcare Facilities2, 
Educational Institutions3)","Building Size
(Large Size Commercial Buildings: 
i) Office Building, Retail Building, and Mixed Development - GFA ≥ 15,000 m2
ii) Hotel - GFA ≥ 7,000 m2

Small Size Commercial Buildings:: 
i) Office Building, Retail Building, and Mixed Development - GFA < 15,000 m2
ii) Hotel - GFA < 7,000 m2)",Public Sector,Year Obtained TOP/CSC,Green Mark Year of Award,Green Mark Rating,"Green Mark Status 
(Yes – Green Mark building;
No – non-Green Mark building)",Gross Floor Area (m2),Percentage of Air-conditioned Floor Area (%),Average Monthly Building Occupancy Rate (%) ,Number of Hotel Rooms,Type of Air-conditioning System,"Age of Newest Chiller/Air-conditioner
",Centralised Air-conditioning Plant Efficiency (kW/RT),Year of Last Chiller Plant Audit/ Health Check,Percentage Usage of LED (%),Installation of Solar PV (Y/N),"2016
Energy Use Intensity (EUI)
(kWh/m2.yr) ","2017
Energy Use Intensity
(EUI) 
(kWh/m2.yr) ","2018
Energy Use Intensity (EUI)
(kWh/m2.yr) ",EUI Performance Compared to the Previous Year (Improve/ Worsen),"Benchmarking - 
EUI Quartile",Voluntary Disclosure,postal_code,lat,lon,plan_area
"51 CHANGI BUSINESS PARK CENTRAL 2, SINGAPORE 486066",Office,Large,No,2002.0,2016.0,Gold,Yes,47410.0,0.690677072347606,95.0,,District Cooling Plant,5.35,,,10.0,N,128.07361590381777,131.91217570132883,131.9859801729593,Worsened,Not benchmarked,Y,486066,1.33475676200367,103.965118785684,TAMPINES
"15 SCOTTS ROAD, SINGAPORE 228218",Office,Small,No,1973.0,,,No,11481.0,0.8710042679209128,90.0,,Water Cooled Chilled Water Plant,1.0,,,100.0,N,140.9188189182127,139.63423133873354,102.11603518857243,Improved,Top Quartile,Y,228218,1.30788492696723,103.83273062786,ORCHARD
"35 NEW BRIDGE ROAD, SINGAPORE 059395",Office,Small,No,1998.0,,,No,1016.0,0.9793307086614174,100.0,,"Others (Split Units, Unitary Systems)",8.0,,,0.0,N,364.51750984251964,340.6962401574803,329.8725492125984,Improved,Bottom Quartile,Y,059395,1.28833377741415,103.847231504686,SINGAPORE RIVER
"1 FUSIONOPOLIS WALK, SINGAPORE 138628",Office,Large,No,2010.0,2015.0,Platinum,Yes,51282.0,0.7998712998712999,93.0,1.0,District Cooling Plant,0.0,,,65.0,N,126.62181096681097,126.58454018954018,132.34246285246286,Worsened,Not benchmarked,Y,138628,1.29806429260644,103.790115604433,QUEENSTOWN
"29 BUKIT PASOH ROAD, SINGAPORE 089843",Office,Small,No,1928.0,,,No,1175.0,0.854468085106383,100.0,,"Others (Split Units, Unitary Systems)",7.0,,,0.0,N,96.13617021276596,86.55470638297872,87.19956595744681,Worsened,Top Quartile,Y,089843,1.27917907417969,103.840453119833,OUTRAM
"112 SIMS AVENUE, SINGAPORE 387436",Hotel,Small,No,1998.0,,,No,1094.0,0.6846435100548446,50.0,58.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,312.09288848263253,283.12834552102373,414.66087751371117,Worsened,Bottom Quartile,Y,387436,1.31392298042945,103.87787218811,GEYLANG
"47 BEACH ROAD, SINGAPORE 189683",Office,Small,No,1962.0,,,No,2602.0,0.7048424289008455,75.0,,"Others (Split Units, Unitary Systems)",9.0,,,0.0,N,71.74789777094543,60.719692544196775,56.11368946963874,Improved,Top Quartile,Y,189683,1.29640863991837,103.855929479543,DOWNTOWN CORE
"20 MALACCA STREET, SINGAPORE 048979",Office,Small,No,1984.0,,,No,4359.0,0.7554484973617802,93.0,,"Others (Split Units, Unitary Systems)",2.0,,,5.0,N,197.66624684560676,151.68992888277128,143.6239320945171,Improved,2nd Quartile,Y,048979,1.28393979832145,103.850711236652,DOWNTOWN CORE
"530 NORTH BRIDGE ROAD, SINGAPORE 188747",Retail,Small,No,2005.0,,,No,1576.0,0.9206852791878173,100.0,,"Others (Split Units, Unitary Systems)",6.0,,,5.0,N,373.658883248731,323.7846763959391,275.32290609137056,Improved,2nd Quartile,Y,188747,1.29883591544935,103.856129271354,DOWNTOWN CORE
"205 UPPER BUKIT TIMAH ROAD, SINGAPORE 588181",Office,Small,No,2011.0,,,No,4677.0,1.0,100.0,,"Others (Split Units, Unitary Systems)",4.0,,,20.0,N,159.93425914047467,152.11184519991448,148.49935856318152,Improved,2nd Quartile,Y,588181,1.34449155367099,103.774321065022,BUKIT TIMAH
"191 UPPER BUKIT TIMAH ROAD, SINGAPORE 588180",Retail,Small,No,2013.0,,,No,2781.0,0.7436174038115786,85.0,,"Others (Split Units, Unitary Systems)",4.0,,,0.0,N,265.65825242718444,232.70055375764113,255.44316792520678,Worsened,2nd Quartile,Y,588180,1.34409909713593,103.774676328827,BUKIT TIMAH
"430 LORONG 6 TOA PAYOH, SINGAPORE 319402",Office,Small,No,2010.0,,,No,3547.0,1.0,100.0,,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,331.86495630109954,293.32080067662815,340.04689314914015,Worsened,Bottom Quartile,Y,319402,1.33139742181904,103.849451187801,TOA PAYOH
"21 MIDDLE ROAD, SINGAPORE 188931",Hotel,Small,No,2012.0,,,No,937.0,0.7609391675560299,70.0,38.0,"Others (Split Units, Unitary Systems)",3.0,,,100.0,N,220.6264674493063,192.67362860192102,196.30661686232656,Worsened,2nd Quartile,Y,188931,1.29675138541291,103.855862427294,DOWNTOWN CORE
"19 TANGLIN ROAD, SINGAPORE 247909",Mixed Development,Large,No,1970.0,,,No,24377.0,0.9217705213931164,80.0,,Water Cooled Chilled Water Plant,13.0,,,35.0,N,251.2391344299955,218.76952619272265,208.76857447594037,Improved,Top Quartile,Y,247909,1.30645661300573,103.827145307763,ORCHARD
"96 ROBINSON ROAD, SINGAPORE 068899",Office,Small,No,2007.0,,,No,7684.0,0.7129099427381572,95.0,,"Others (Split Units, Unitary Systems)",10.0,,,20.0,N,222.99291775117126,249.2173555439875,245.02531233732432,Improved,3rd Quartile,Y,068899,1.27969356642873,103.84905378202,DOWNTOWN CORE
"141 CECIL STREET, SINGAPORE 069541",Office,Small,No,1988.0,,,No,5934.0,0.13481631277384565,90.0,,Air Cooled Chilled Water Plant,10.0,,,20.0,N,183.8362234580384,157.76861307718232,172.6469160768453,Worsened,2nd Quartile,Y,069541,1.27925609401816,103.848411649087,DOWNTOWN CORE
"18 JALAN MOLEK, SINGAPORE 399535",Hotel,Small,No,1999.0,,,No,1000.0,0.85,60.0,36.0,"Others (Split Units, Unitary Systems)",3.0,,,0.0,N,120.90742,123.95416,121.224,Improved,Top Quartile,Y,399535,1.31170840324042,103.882777768382,GEYLANG
"97 STILL ROAD, SINGAPORE 423988",Hotel,Small,No,1960.0,,,No,690.0,0.8115942028985508,80.0,29.0,"Others (Split Units, Unitary Systems)",6.0,,,90.0,N,325.86760869565217,316.1947826086956,330.28521739130434,Worsened,3rd Quartile,Y,423988,1.31340396974368,103.906451543871,GEYLANG
"1 SELETAR ROAD, SINGAPORE 807011",Retail,Small,No,2011.0,2011.0,Certified,Yes,4500.0,0.9664444444444444,97.0,,"Others (Split Units, Unitary Systems)",7.0,,,15.0,N,406.27777777777777,348.2388888888889,388.2486666666667,Worsened,3rd Quartile,Y,807011,1.38739538356829,103.869135979261,SERANGOON
"2 ANG MO KIO DRIVE, SINGAPORE 567720",ITE,Large,No,2012.0,2017.0,Platinum,Yes,192820.0,0.6817238875635308,100.0,,Water Cooled Chilled Water Plant,3.0,0.61,2015.0,4.0,Y,106.35806710922104,103.71449019811223,101.94085416450575,Improved,Not benchmarked,Y,567720,1.37724447883816,103.856431219196,ANG MO KIO
"10 SIMEI AVENUE, SINGAPORE 486047",ITE,Large,No,2004.0,2018.0,Platinum,Yes,130424.0,0.5476829417898547,95.0,,Water Cooled Chilled Water Plant,1.0,0.58,2017.0,22.0,N,126.70829798229106,102.59949855854751,99.62070631172178,Improved,Not benchmarked,Y,486047,1.3334475626498,103.955310837048,TAMPINES
"30 NAPIER ROAD, SINGAPORE 258509",Private School,Small,No,1988.0,,,No,2315.0,0.6971922246220302,100.0,,Water Cooled Chilled Water Plant,7.0,,,10.0,N,306.0878401727862,286.4785529157667,273.81743412527,Improved,Not benchmarked,Y,258509,1.30506975227221,103.821463236807,TANGLIN
"3 MOUNT ELIZABETH, SINGAPORE 228510",Private Hospital (Private),Large,No,1979.0,,,No,55097.0,0.9974771766157867,75.0,284.0,Water Cooled Chilled Water Plant,2.0,0.9,2017.0,40.0,N,363.1837484799536,373.01539103762457,375.0542134780478,Worsened,Not benchmarked,Y,228510,1.30516521383702,103.835439337571,NEWTON
"38 IRRAWADDY ROAD, SINGAPORE 329563",Private Hospital (Private),Large,No,2012.0,2014.0,Platinum,Yes,73797.0,0.9801753458812689,80.0,333.0,Water Cooled Chilled Water Plant,3.0,,,60.0,N,366.9770962234237,360.0042787647194,364.1107536891743,Worsened,Not benchmarked,Y,329563,1.32214005436305,103.844212383833,NOVENA
"215 UPPER BUKIT TIMAH ROAD, SINGAPORE 588184",Private School,Small,No,2005.0,,,No,2740.0,0.8094890510948906,100.0,,"Others (Split Units, Unitary Systems)",2.0,,,2.0,N,52.59306569343066,62.11861313868613,63.99804744525547,Worsened,Not benchmarked,Y,588184,1.34544411545417,103.772921561927,BUKIT TIMAH
"49 BEACH ROAD, SINGAPORE 189685",Office,Small,No,1999.0,,,No,2295.0,0.8095860566448801,100.0,,"Others (Split Units, Unitary Systems)",7.0,,,0.0,N,317.8643137254902,313.590082788671,309.9304226579521,Improved,Bottom Quartile,Y,189685,1.29658053349868,103.856026708006,DOWNTOWN CORE
"200 CHANGI ROAD, SINGAPORE 419734",Office,Large,No,2005.0,,,No,24707.0,0.714372445056057,100.0,,Air Cooled Chilled Water Plant,12.0,1.58,2015.0,0.0,N,113.86408710082164,109.08249686323714,103.01873962844537,Improved,Top Quartile,Y,419734,1.31691915233148,103.903560614356,GEYLANG
"16 CARPENTER STREET, SINGAPORE 059905",Hotel,Small,No,2009.0,,,No,650.0,0.46153846153846156,80.0,24.0,"Others (Split Units, Unitary Systems)",0.0,,,100.0,N,141.4997846153846,144.69396923076923,123.87293846153844,Improved,Top Quartile,Y,059905,1.28834729276189,103.847855879822,SINGAPORE RIVER
"2 DICKSON ROAD, SINGAPORE 209494",Hotel,Small,No,1938.0,,,No,867.0,0.8073817762399077,75.0,29.0,"Others (Split Units, Unitary Systems)",0.0,,,20.0,N,741.6503460207612,726.9774279123415,674.8721799307959,Improved,Bottom Quartile,Y,209494,1.30512093883828,103.854629628306,ROCHOR
"33 BIRCH ROAD, SINGAPORE 219894",Hotel,Small,No,1992.0,,,No,1126.0,0.7504440497335702,80.0,48.0,"Others (Split Units, Unitary Systems)",2.0,,,1.0,N,283.20575488454705,303.73328596802844,289.89275310834813,Improved,3rd Quartile,Y,219894,1.31119378997323,103.853597391564,ROCHOR
"20 ORCHARD ROAD, SINGAPORE 238830",Private School,Small,No,1900.0,,,No,2044.0,0.9833659491193738,70.0,,Water Cooled Packaged Unit,20.0,,,0.0,N,174.8879892367906,160.13876712328766,171.11524951076322,Worsened,Not benchmarked,Y,238830,1.29902232591852,103.84676118949,MUSEUM
"10 CENTRAL EXCHANGE GREEN, SINGAPORE 138649",Office,Small,Yes,2009.0,,,No,5111.0,0.776169047153199,10.0,,"Others (Split Units, Unitary Systems)",2.0,,,0.0,N,10.848170612404617,92.83114850322833,113.16376051653296,Worsened,Top Quartile,Y,138649,1.3007857122537,103.789743904281,QUEENSTOWN
"80 EU TONG SEN STREET, SINGAPORE 059810",Retail,Small,No,2010.0,,,No,4059.0,0.8869179600886918,100.0,,"Others (Split Units, Unitary Systems)",7.0,,,2.0,N,248.0931830500123,264.4250948509485,266.42004927322,Worsened,2nd Quartile,Y,059810,1.28471077015851,103.843197416212,OUTRAM
"1 TURF CLUB AVENUE, SINGAPORE 738078",Mixed Development,Large,No,1999.0,,,No,210427.0,0.2658356579716481,9.0,,Water Cooled Chilled Water Plant,2.0,0.75,2015.0,13.0,N,174.80903591269183,167.38816786819183,161.1588721979594,Improved,Top Quartile,Y,738078,1.42203453745817,103.759210217078,SUNGEI KADUT
"733 BUKIT TIMAH ROAD, SINGAPORE 269748",Mixed Development,Small,No,1996.0,,,No,965.0,1.0,95.0,,"Others (Split Units, Unitary Systems)",19.0,,,0.0,N,318.1305699481865,292.78705699481867,277.30926424870466,Improved,3rd Quartile,Y,269748,1.32982544693334,103.799469913283,BUKIT TIMAH
"512 KAMPONG BAHRU ROAD, SINGAPORE 099448",Hotel,Small,No,2001.0,,,No,975.0,0.9056410256410257,65.0,100.0,"Others (Split Units, Unitary Systems)",0.0,,,80.0,N,551.1344615384616,519.8983076923076,547.8952307692307,Worsened,Bottom Quartile,Y,099448,1.2726140303265,103.827744705929,BUKIT MERAH
"559 BUKIT TIMAH ROAD, SINGAPORE 269695",Office,Small,No,2002.0,,,No,2013.0,0.8564331843020367,100.0,,"Others (Split Units, Unitary Systems)",0.0,,,0.0,N,242.39394932935917,241.20230998509686,245.1188425235966,Worsened,3rd Quartile,Y,269695,1.32321028467967,103.810721263366,BUKIT TIMAH
"50 EAST COAST ROAD, SINGAPORE 428769",Retail,Large,No,1990.0,,,No,79471.0,0.4933875250091228,80.0,576.0,Water Cooled Chilled Water Plant,18.0,,,49.0,N,170.84113601187855,161.69885253740358,158.22321198927906,Improved,Top Quartile,Y,428769,1.30335696401522,103.904685504029,MARINE PARADE
"5 VERDUN ROAD, SINGAPORE 207274",Office,Small,No,1994.0,,,No,4259.0,0.00023479690068091102,95.0,,"Others (Split Units, Unitary Systems)",0.0,,,0.0,N,143.61352430147923,142.77013383423338,133.1744540972059,Improved,2nd Quartile,Y,207274,1.3100432960085,103.855902832975,KALLANG
"110 KILLINEY ROAD, SINGAPORE 239549",Retail,Small,No,1982.0,,,No,2453.0,0.31023236852833264,100.0,,"Others (Split Units, Unitary Systems)",0.0,,,0.0,N,56.503872808805546,56.72470852017937,62.82156135344475,Worsened,Top Quartile,Y,239549,1.29818973309181,103.838457981369,RIVER VALLEY
"153 TYRWHITT ROAD, SINGAPORE 207566",Office,Small,No,1989.0,,,No,830.0,1.0,100.0,,"Others (Split Units, Unitary Systems)",10.0,,,0.0,N,126.30240963855422,358.0372771084337,368.4610843373494,Worsened,Bottom Quartile,Y,207566,1.31188833987111,103.860219718396,KALLANG
"3 JALAN KUBOR, SINGAPORE 199201",Hotel,Small,No,1950.0,,,No,471.0,1.0,70.0,23.0,"Others (Split Units, Unitary Systems)",4.0,,,0.0,N,258.6151592356688,254.53819532908707,234.15492569002123,Improved,2nd Quartile,Y,199201,1.30368205498949,103.85929251693,ROCHOR
"62 UPPER CROSS STREET, SINGAPORE 058353",Hotel,Small,No,2013.0,,,No,1417.0,0.7410021171489062,85.0,42.0,"Others (Split Units, Unitary Systems)",7.0,,,95.0,N,257.96609536973045,218.94469301340862,253.8453069865914,Worsened,2nd Quartile,Y,058353,1.28447579893475,103.844305857615,OUTRAM
"30 PENHAS ROAD, SINGAPORE 208188",Mixed Development,Small,No,1966.0,,,No,950.0,0.6810526315789474,56.0,11.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,674.817894736842,615.061052631579,611.401052631579,Improved,Bottom Quartile,Y,208188,1.30946846345341,103.862464536268,KALLANG
"60 EU TONG SEN STREET, SINGAPORE 059804",Hotel,Large,No,1984.0,2017.0,Platinum,Yes,25857.0,1.0,90.0,445.0,Water Cooled Chilled Water Plant,8.0,,,94.0,N,249.04191514870246,235.37136172023048,231.8113083497699,Improved,2nd Quartile,Y,059804,1.28649701803051,103.844628721032,OUTRAM
"50 COLLYER QUAY, SINGAPORE 049321",Office,Large,No,2011.0,2015.0,Gold,Yes,40450.0,0.8349730737365368,98.0,,Water Cooled Chilled Water Plant,7.0,0.83,2015.0,25.0,N,298.56574215080343,297.94593325092706,288.8952781211372,Improved,Bottom Quartile,Y,049321,1.28316691041157,103.852968257556,DOWNTOWN CORE
"134 JALAN BESAR, SINGAPORE 208852",Hotel,Small,No,2013.0,,,No,698.0,0.4297994269340974,60.0,15.0,"Others (Split Units, Unitary Systems)",1.0,,,25.0,N,197.8779226361031,212.61865329512895,249.73383954154727,Worsened,2nd Quartile,Y,208852,1.3066864549953,103.856401200652,ROCHOR
"22 YIO CHU KANG ROAD, SINGAPORE 545535",Retail,Small,No,1995.0,,,No,3370.0,0.005934718100890208,90.0,,Water Cooled Chilled Water Plant,10.0,,,20.0,N,573.896471810089,555.0084154302671,562.249002967359,Worsened,Bottom Quartile,Y,545535,1.35538775194974,103.877259450345,HOUGANG
"114 MIDDLE ROAD, SINGAPORE 188971",Office,Small,No,1982.0,,,No,3876.0,0.6842105263157895,100.0,,"Others (Split Units, Unitary Systems)",16.0,,,0.0,N,185.70866357069144,245.16317079463363,211.68475748194015,Improved,3rd Quartile,Y,188971,1.29917021796577,103.85362919539,ROCHOR
"10 SCOTTS ROAD, SINGAPORE 228211",Hotel,Large,No,1970.0,,,No,84230.0,0.7408286833669714,85.0,677.0,Water Cooled Chilled Water Plant,14.0,0.57,2016.0,45.0,N,246.49476208001897,226.03127092484863,215.5357301436543,Improved,Top Quartile,Y,228211,1.30637300291267,103.833257176622,ORCHARD
"48 MOSQUE STREET, SINGAPORE 059526",Hotel,Small,No,2011.0,,,No,3700.0,0.6756756756756757,90.0,138.0,"Others (Split Units, Unitary Systems)",5.0,,,93.0,N,253.82162162162163,211.53783783783783,204.9651135135135,Improved,2nd Quartile,Y,059526,1.28423978093808,103.844285497766,OUTRAM
"3 CHURCH STREET, SINGAPORE 049483",Office,Large,No,2005.0,2014.0,GoldPlus,Yes,27562.0,0.9821856178796894,94.0,,Water Cooled Chilled Water Plant,2.0,0.62,2017.0,100.0,N,221.9901367825267,178.15558268630724,180.9618079239533,Worsened,2nd Quartile,Y,049483,1.2832632231733,103.849626546611,DOWNTOWN CORE
"11 THIRD HOSPITAL AVENUE, SINGAPORE 168751",Specialist Centre (Public),Large,No,2000.0,,,No,19445.0,0.843455901259964,96.0,,Water Cooled Chilled Water Plant,16.0,,,22.0,N,26.661247226122004,273.3685780406274,287.0264849575726,Worsened,Not benchmarked,Y,168751,1.28108025745121,103.835736510976,BUKIT MERAH
"2 ORCHARD TURN, SINGAPORE 238801",Retail,Large,No,2011.0,2007.0,Gold,Yes,87486.0,0.9372928239946963,98.0,,Water Cooled Chilled Water Plant,8.0,0.73,2017.0,100.0,N,520.2859543241204,484.9168438378712,470.6745765036692,Improved,3rd Quartile,Y,238801,1.30409806225897,103.831592101365,ORCHARD
"29 TANGLIN ROAD, SINGAPORE 247911",Hotel,Large,No,2007.0,2006.0,GoldPlus,Yes,30850.0,0.9499837925445705,78.0,299.0,Water Cooled Chilled Water Plant,10.0,0.75,2013.0,35.0,N,465.61365510534847,415.1275795786062,384.81788298217185,Improved,Bottom Quartile,Y,247911,1.30566141166044,103.826053512399,ORCHARD
"391A ORCHARD ROAD, SINGAPORE 238873",Mixed Development,Large,No,1993.0,2015.0,Platinum,Yes,175179.0,0.9972941962221499,90.0,,Water Cooled Chilled Water Plant,1.0,0.62,2017.0,0.0,N,314.9663347775704,318.88486062827167,264.4957228891591,Improved,3rd Quartile,Y,238873,1.30242417189411,103.834676124723,ORCHARD
"61 STAMFORD ROAD, SINGAPORE 178892",Office,Small,No,1996.0,,,No,6832.0,0.9300351288056206,90.0,,Air Cooled Chilled Water Plant,6.0,,,0.0,N,286.0690573770492,270.1941598360656,281.7045769906323,Worsened,Bottom Quartile,Y,178892,1.29448225459417,103.850054625521,MUSEUM
"2 JALAN SEH CHUAN, SINGAPORE 598417",Private School,Small,No,2009.0,,,No,4046.0,0.9997528423133959,100.0,,"Others (Split Units, Unitary Systems)",6.0,,,0.0,N,46.34195501730103,41.53095155709343,33.99488383588729,Improved,Not benchmarked,Y,598417,1.34141848657014,103.774249938721,BUKIT TIMAH
"58 LOWLAND ROAD, SINGAPORE 547453",Private School,Small,No,2006.0,,,No,7778.0,1.0,100.0,,"Others (Split Units, Unitary Systems)",9.0,,,0.0,N,82.99778606325533,75.42156466958087,80.17271020827975,Worsened,Not benchmarked,Y,547453,1.36270491505023,103.882542906981,HOUGANG
"277 RIVER VALLEY ROAD, SINGAPORE 238318",Private School,Small,No,2011.0,,,No,3457.0,0.9997107318484235,100.0,,"Others (Split Units, Unitary Systems)",4.0,,,0.0,N,96.75441133931155,93.49435927104426,88.07347411050043,Improved,Not benchmarked,Y,238318,1.29547476702706,103.840603664795,RIVER VALLEY
"17 KHEAM HOCK ROAD, SINGAPORE 298791",Private School,Small,No,1938.0,,,No,2193.0,0.6520747834017327,27.0,,"Others (Split Units, Unitary Systems)",2.0,,,87.0,N,184.51436388508893,184.60556315549476,182.50797993616052,Improved,Not benchmarked,Y,298791,1.32556218275648,103.819078342522,NOVENA
"2 MAGAZINE ROAD, SINGAPORE 059573",Hotel,Large,No,2014.0,2017.0,Platinum,Yes,11783.0,0.7397946193668845,87.0,442.0,Water Cooled Chilled Water Plant,4.0,0.64,2017.0,100.0,N,266.131867945345,263.76631163540696,262.9102817618603,Improved,2nd Quartile,Y,059573,1.289136974408,103.84201075936,SINGAPORE RIVER
"31 SCIENCE PARK ROAD, SINGAPORE 117611",Office,Small,No,1997.0,,,No,11291.0,0.9411920999025772,7.0,,Water Cooled Chilled Water Plant,1.0,0.7,2017.0,5.0,N,387.5506677885041,315.6199539456204,284.9079895491985,Improved,Bottom Quartile,Y,117611,1.28821351494215,103.782139290231,QUEENSTOWN
"6 SCOTTS ROAD, SINGAPORE 228209",Retail,Small,No,2011.0,,,No,12161.0,0.9231971055011924,95.0,,Water Cooled Chilled Water Plant,7.0,0.95,2013.0,20.0,N,467.564278664254,471.2942192253926,476.1524545678809,Worsened,3rd Quartile,Y,228209,1.30585582603508,103.832984356543,ORCHARD
"36 ROBINSON ROAD, SINGAPORE 068877",Office,Large,No,1984.0,2013.0,Platinum,Yes,20180.0,0.6442021803766105,100.0,,Water Cooled Chilled Water Plant,8.0,0.59,2018.0,40.0,N,147.2472596630327,134.35146679881072,114.1428989098117,Improved,Top Quartile,Y,068877,1.28122009688434,103.84979834686,DOWNTOWN CORE
"22 ORANGE GROVE ROAD, SINGAPORE 258350",Hotel,Large,No,1971.0,2017.0,Gold,Yes,79709.0,0.841824637117515,49.0,792.0,Water Cooled Chilled Water Plant,20.0,0.7,2017.0,67.0,N,377.5311382654405,333.0432761670577,365.28797249996865,Worsened,Bottom Quartile,Y,258350,1.31122438238089,103.826788133417,TANGLIN
"1 CHOA CHU KANG GROVE, SINGAPORE 688236",ITE,Large,No,2010.0,2017.0,Platinum,Yes,97876.0,0.8187502554252319,98.0,22.0,Water Cooled Chilled Water Plant,8.0,0.65,2018.0,5.0,N,110.76049641712238,112.64320160202705,113.45110139360007,Worsened,Not benchmarked,Y,688236,1.37527500765096,103.752407481466,CHOA CHU KANG
"65 CHULIA STREET, SINGAPORE 049513",Office,Large,No,1979.0,2016.0,Gold,Yes,75079.0,0.6694015636862505,90.0,,Water Cooled Chilled Water Plant,7.0,0.79,2014.0,2.0,N,204.77557306304027,200.0755038026612,199.2683240320196,Improved,3rd Quartile,Y,049513,1.28503445044088,103.849102832547,DOWNTOWN CORE
"63 CHULIA STREET, SINGAPORE 049514",Office,Large,No,1996.0,2016.0,Gold,Yes,22518.0,0.7999822364330758,100.0,,Water Cooled Chilled Water Plant,7.0,0.73,2016.0,40.0,N,199.61172839506173,196.0168309796607,201.0563327116085,Worsened,3rd Quartile,Y,049514,1.28489046523391,103.849665596009,DOWNTOWN CORE
"18 CHURCH STREET, SINGAPORE 049479",Office,Small,No,1986.0,2016.0,Gold,Yes,11047.0,0.7987688965329954,100.0,,Water Cooled Chilled Water Plant,7.0,0.7,2016.0,30.0,N,375.8408128903775,383.84590658097227,397.30327057119587,Worsened,Bottom Quartile,Y,049479,1.2848057262583,103.848835107849,DOWNTOWN CORE
"149 SIMS DRIVE, SINGAPORE 387380",Private College,Large,No,2015.0,,,No,24157.0,0.3273171337500517,70.0,104.0,"Others (Split Units, Unitary Systems)",2.0,,,20.0,N,61.87933435443143,61.950664817651194,67.31427163969036,Worsened,Not benchmarked,Y,387380,1.31556694222653,103.876391006571,GEYLANG
"1 TAMPINES STREET 41, SINGAPORE 529203",Polyclinic,Small,No,2013.0,2013.0,Gold,Yes,5923.0,0.8911024818504136,100.0,,"Others (Split Units, Unitary Systems)",5.0,,,100.0,N,130.16125274354212,130.68770893128482,132.7220749620125,Worsened,Not benchmarked,Y,529203,1.35730113647076,103.945905475983,TAMPINES
"250 MIDDLE ROAD, SINGAPORE 188983",Private School,Small,No,1900.0,,,No,2215.0,0.6320541760722348,90.0,,"Others (Split Units, Unitary Systems)",9.0,,,10.0,N,96.77046501128669,96.96844695259593,94.68202257336343,Improved,Not benchmarked,Y,188983,1.30146797174426,103.850668044883,ROCHOR
"51 YISHUN CENTRAL 1, SINGAPORE 768794",Retail,Small,No,1992.0,,,No,5574.0,0.9000717617509867,100.0,,"Others (Split Units, Unitary Systems)",20.0,,,100.0,N,566.7434391819161,538.0972838177252,403.6255848582705,Improved,3rd Quartile,Y,768794,1.42991718038493,103.836421473445,YISHUN
"1010 DOVER ROAD, SINGAPORE 139658",Polytechnic,Small,No,2000.0,,,No,6126.0,0.32647730982696704,75.0,,"Others (Split Units, Unitary Systems)",17.0,,,80.0,N,213.53384753509633,224.15946784198496,215.8003591250408,Improved,Not benchmarked,Y,139658,1.30964603329964,103.774586761471,QUEENSTOWN
"41 SUNSET WAY, SINGAPORE 597071",Mixed Development,Small,No,1993.0,,,No,3608.0,0.781319290465632,100.0,,"Others (Split Units, Unitary Systems)",20.0,,,96.0,N,359.8042627494457,343.47299057649667,333.1419401330377,Improved,3rd Quartile,Y,597071,1.32355286918436,103.767515486547,CLEMENTI
"9 CHANGI BUSINESS PARK VISTA, SINGAPORE 486041",Office,Small,No,2014.0,2017.0,Platinum,Yes,12767.0,0.8108404480300776,100.0,,District Cooling Plant,5.35,,,44.0,N,149.24890342288714,158.07817028276025,161.3283692331793,Worsened,Not benchmarked,Y,486041,1.33851605547175,103.964780414302,TAMPINES
"21 MEDIA CIRCLE, SINGAPORE 138562",Office,Large,No,2014.0,2014.0,GoldPlus,Yes,20484.0,0.8815661003710212,90.0,,Water Cooled Chilled Water Plant,3.0,,,10.0,N,316.6881214606522,334.26000585823084,327.790775727397,Improved,Bottom Quartile,Y,138562,1.29238424432587,103.794685834653,QUEENSTOWN
"101 JALAN SULTAN, SINGAPORE 199002",Hotel,Small,No,2011.0,,,No,2691.0,0.8547008547008547,52.0,64.0,"Others (Split Units, Unitary Systems)",5.0,,,40.0,N,152.6784801189149,139.75668153102936,152.1312077294686,Worsened,Top Quartile,Y,199002,1.30317536901555,103.861002449925,ROCHOR
"401 MACPHERSON ROAD, SINGAPORE 368125",Mixed Development,Small,No,2016.0,2016.0,Certified,Yes,13284.0,0.7527853056308341,80.0,298.0,Water Cooled Chilled Water Plant,2.0,0.8,2017.0,99.0,N,173.90627822944896,193.1141177356218,227.44972824450466,Worsened,2nd Quartile,Y,368125,1.3317705447992,103.879294500005,TOA PAYOH
"1 JURONG EAST STREET 21, SINGAPORE 609606",General Hospital/ Specialist Centre (Public),Large,No,2015.0,2013.0,Platinum,Yes,186357.0,0.7008698358526914,81.0,,Water Cooled Chilled Water Plant,4.0,,,30.0,Y,276.0084559871899,264.0970073568473,261.71943366763793,Improved,Not benchmarked,Y,609606,1.33553382554428,103.743865452312,JURONG EAST
